"Covanta Alexandria/Arlington Energy"
"http://www.eia.gov/electricity/data/browser/#/plant/50663"
"Mon Jun 09 2014 18:21:36 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
" ","units","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014"
"MMBTU per Unit-All Primemovers-Biogenic Municipal Solid Waste","MMBtu per tons","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",7.47,7.47,7.47,7.47,7.47,7.47,7.47,7.47,7.47,7.47,7.47,7.47,7.92,8.12,7.09,7.44,7.41,7.55,7.85,7.83,7.75,7.34,7.47,8.12,7.95,7.72,7.33,7.25,6.79,7.11,7.38,7.78,7.26,7.47,7.80,7.14,7.64,8.02,7.38,7.32,6.86,6.70,7.34,6.96,7.47,6.78,6.99,7.38,7.39,6.76,7.21,7.40,7.43,7.35,7.20,6.97,7.23,7.49,7.58,7.82,7.73,8.01,7.62,7.77,7.05,7.83,8.25,7.33,6.87,8.10,7.73,7.90,8.14,8.25,7.70,7.91,7.30,7.90,7.73,8.04,7.36,8.12,7.86,8.40,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MMBTU per Unit-All Primemovers-Non-Biogenic Municipal Solid Waste","MMBtu per tons","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,18.67,19.13,16.70,17.55,17.48,17.79,18.51,18.44,18.27,17.30,17.62,19.13,18.74,18.20,17.28,17.09,16.01,16.75,17.39,18.34,17.11,17.62,18.39,16.83,18.00,18.90,17.41,17.25,16.17,15.80,17.30,16.40,17.62,15.98,16.47,17.39,17.42,15.93,17.00,17.44,17.51,17.34,16.97,16.42,17.05,17.65,17.87,18.44,13.20,13.68,13.01,13.27,12.05,13.37,14.09,12.52,11.73,13.84,13.20,13.50,13.90,14.09,13.15,13.52,12.47,13.49,13.20,13.73,12.58,13.87,13.42,14.35,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MMBTU per Unit-All Primemovers-Municipal Solid Waste","MMBtu per tons","--","--","--","--","--","--","--","--","--","--","--","--",10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Steam Turbine (ST)","MMBtu per physical unit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MMBTU per Unit-Steam Turbine-Biogenic Municipal Solid Waste","MMBtu per tons","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",7.47,7.47,7.47,7.47,7.47,7.47,7.47,7.47,7.47,7.47,7.47,7.47,7.92,8.12,7.09,7.44,7.41,7.55,7.85,7.83,7.75,7.34,7.47,8.12,7.95,7.72,7.33,7.25,6.79,7.11,7.38,7.78,7.26,7.47,7.80,7.14,7.64,8.02,7.38,7.32,6.86,6.70,7.34,6.96,7.47,6.78,6.99,7.38,7.39,6.76,7.21,7.40,7.43,7.35,7.20,6.97,7.23,7.49,7.58,7.82,7.73,8.01,7.62,7.77,7.05,7.83,8.25,7.33,6.87,8.10,7.73,7.90,8.14,8.25,7.70,7.91,7.30,7.90,7.73,8.04,7.36,8.12,7.86,8.40,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MMBTU per Unit-Steam Turbine-Non-Biogenic Municipal Solid Waste","MMBtu per tons","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,18.67,19.13,16.70,17.55,17.48,17.79,18.51,18.44,18.27,17.30,17.62,19.13,18.74,18.20,17.28,17.09,16.01,16.75,17.39,18.34,17.11,17.62,18.39,16.83,18.00,18.90,17.41,17.25,16.17,15.80,17.30,16.40,17.62,15.98,16.47,17.39,17.42,15.93,17.00,17.44,17.51,17.34,16.97,16.42,17.05,17.65,17.87,18.44,13.20,13.68,13.01,13.27,12.05,13.37,14.09,12.52,11.73,13.84,13.20,13.50,13.90,14.09,13.15,13.52,12.47,13.49,13.20,13.73,12.58,13.87,13.42,14.35,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MMBTU per Unit-Steam Turbine-Municipal Solid Waste","MMBtu per tons","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fuel Consumption MMBTUs","MMBtu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All Primemovers (ALL)","MMBtu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fuel Consumption MMBTUs-All Primemovers-All Fuels","MMBtu","--","--","--","--","--","--","--","--","--","--","--","--",252007,242257,268906,228768,234515,237703,284713,240128,277496,285192,260127,242039,343628,293295,268088,232876,245899,290879,359131,381339,282626,259982,266654,350883,274123,259811,282188,288381,323014,318963,342091,308561,301080,263508,263922,311066,314681,268380,299822,276826,303307,294096,315965,304361,289772,250071,278453,311588,293609,272259,270198,268288,310057,344070,284557,271722,307146,304199,307029,315914,308020,265425,257941,303903,317029,303373,319505,315970,289180,287594,277685,311960,303355,281821,256164,295089,299314,295106,309396,315063,275412,293663,275970,291264,297310,268924,270464,289744,283824,252274,276244,278870,255027,250994,242567,259475,262904,187788,270269,301256,290438,300235,310871,304583,286220,290454,287010,285236,265006,227928,264674,287486,256848,297904,335901,267611,248011,334857,273292,303408,262509,267167,262511,281846,289660,284789,294770,296397,239586,292056,287352,284756,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fuel Consumption MMBTUs-All Primemovers-Biogenic Municipal Solid Waste","MMBtu","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",164424,152468,151314,150244,173635,192683,159355,152167,172005,170355,171940,176915,172494,148636,144448,170185,177536,169890,178921,176947,161936,161054,155504,174697,169879,157820,143451,165249,167615,165261,173264,176435,154233,164450,154546,163110,166493,150597,151466,162254,158945,141274,154691,156167,142813,140556,135838,145305,147226,105159,151350,168697,162643,168135,174091,170563,160284,162654,160722,159727,135151,116244,134983,146617,130991,151934,171311,136481,126479,170776,139377,154740,133878,136257,133884,143740,147724,145242,150329,151160,122189,148945,146549,145227,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fuel Consumption MMBTUs-All Primemovers-Non-Biogenic Municipal Solid Waste","MMBtu","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",129185,119791,118884,118044,136422,151387,125202,119555,135141,133844,135089,138999,135526,116789,113493,133718,139493,133483,140584,139023,127244,126540,122181,137263,133476,124001,112713,129840,131699,129845,136132,138628,121179,129213,121424,128154,130817,118327,118998,127490,124879,111000,121553,122703,112214,110438,106729,114170,115678,82629,118919,132559,127795,132100,136780,134020,125936,127800,126288,125509,129855,111684,129691,140869,125857,145970,164590,131130,121532,164081,133915,148668,128631,130910,128627,138106,141936,139547,144441,145237,117397,143111,140803,139529,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fuel Consumption MMBTUs-All Primemovers-Municipal Solid Waste","MMBtu","--","--","--","--","--","--","--","--","--","--","--","--",251840,242143,268656,228693,234323,237633,284541,239911,277377,285053,259886,241702,343628,293295,268088,232876,245899,290879,359131,381339,282626,259982,266654,350883,274123,259811,282188,288381,323014,318963,342091,308561,301080,263508,263922,311066,314681,268380,299822,276826,303307,294096,315965,304361,289772,250071,278453,311588,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Steam Turbine (ST)","MMBtu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fuel Consumption MMBTUs-Steam Turbine-Biogenic Municipal Solid Waste","MMBtu","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",164424,152468,151314,150244,173635,192683,159355,152167,172005,170355,171940,176915,172494,148636,144448,170185,177536,169890,178921,176947,161936,161054,155504,174697,169879,157820,143451,165249,167615,165261,173264,176435,154233,164450,154546,163110,166493,150597,151466,162254,158945,141274,154691,156167,142813,140556,135838,145305,147226,105159,151350,168697,162643,168135,174091,170563,160284,162654,160722,159727,135151,116244,134983,146617,130991,151934,171311,136481,126479,170776,139377,154740,133878,136257,133884,143740,147724,145242,150329,151160,122189,148945,146549,145227,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fuel Consumption MMBTUs-Steam Turbine-Non-Biogenic Municipal Solid Waste","MMBtu","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",129185,119791,118884,118044,136422,151387,125202,119555,135141,133844,135089,138999,135526,116789,113493,133718,139493,133483,140584,139023,127244,126540,122181,137263,133476,124001,112713,129840,131699,129845,136132,138628,121179,129213,121424,128154,130817,118327,118998,127490,124879,111000,121553,122703,112214,110438,106729,114170,115678,82629,118919,132559,127795,132100,136780,134020,125936,127800,126288,125509,129855,111684,129691,140869,125857,145970,164590,131130,121532,164081,133915,148668,128631,130910,128627,138106,141936,139547,144441,145237,117397,143111,140803,139529,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fuel Consumption MMBTUs-Steam Turbine-Municipal Solid Waste","MMBtu","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",343628,293295,268088,232876,245899,290879,359131,381339,282626,259982,266654,350883,274123,259811,282188,288381,323014,318963,342091,308561,301080,263508,263922,311066,314681,268380,299822,276826,303307,294096,315965,304361,289772,250071,278453,311588,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Electric Fuel Consumption MMBTUs","MMBtu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All Primemovers (ALL)","MMBtu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Electric Fuel Consumption MMBTUs-All Primemovers-All Fuels","MMBtu","--","--","--","--","--","--","--","--","--","--","--","--",252007,242257,268906,228768,234515,237703,284713,240128,277496,285192,260127,242039,343628,293295,268088,232876,245899,290879,359131,381339,282626,259982,266654,350883,274123,259811,282188,288381,323014,318963,342091,308561,301080,263508,263922,311066,314681,268380,299822,276826,303307,294096,315965,304361,289772,250071,278453,311588,293609,272259,270198,268288,310057,344070,284557,271722,307146,304199,307029,315914,308020,265425,257941,303903,317029,303373,319505,315970,289180,287594,277685,311960,303355,281821,256164,295089,299314,295106,309396,315063,275412,293663,275970,291264,297310,268924,270464,289744,283824,252274,276244,278870,255027,250994,242567,259475,262904,187788,270269,301256,290438,300235,310871,304583,286220,290454,287010,285236,265006,227928,264674,287486,256848,297904,335901,267611,248011,334857,273292,303408,262509,267167,262511,281846,289660,284789,294770,296397,239586,292056,287352,284756,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Electric Fuel Consumption MMBTUs-All Primemovers-Biogenic Municipal Solid Waste","MMBtu","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",164424,152468,151314,150244,173635,192683,159355,152167,172005,170355,171940,176915,172494,148636,144448,170185,177536,169890,178921,176947,161936,161054,155504,174697,169879,157820,143451,165249,167615,165261,173264,176435,154233,164450,154546,163110,166493,150597,151466,162254,158945,141274,154691,156167,142813,140556,135838,145305,147226,105159,151350,168697,162643,168135,174091,170563,160284,162654,160722,159727,135151,116244,134983,146617,130991,151934,171311,136481,126479,170776,139377,154740,133878,136257,133884,143740,147724,145242,150329,151160,122189,148945,146549,145227,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Electric Fuel Consumption MMBTUs-All Primemovers-Non-Biogenic Municipal Solid Waste","MMBtu","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",129185,119791,118884,118044,136422,151387,125202,119555,135141,133844,135089,138999,135526,116789,113493,133718,139493,133483,140584,139023,127244,126540,122181,137263,133476,124001,112713,129840,131699,129845,136132,138628,121179,129213,121424,128154,130817,118327,118998,127490,124879,111000,121553,122703,112214,110438,106729,114170,115678,82629,118919,132559,127795,132100,136780,134020,125936,127800,126288,125509,129855,111684,129691,140869,125857,145970,164590,131130,121532,164081,133915,148668,128631,130910,128627,138106,141936,139547,144441,145237,117397,143111,140803,139529,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Electric Fuel Consumption MMBTUs-All Primemovers-Municipal Solid Waste","MMBtu","--","--","--","--","--","--","--","--","--","--","--","--",251840,242143,268656,228693,234323,237633,284541,239911,277377,285053,259886,241702,343628,293295,268088,232876,245899,290879,359131,381339,282626,259982,266654,350883,274123,259811,282188,288381,323014,318963,342091,308561,301080,263508,263922,311066,314681,268380,299822,276826,303307,294096,315965,304361,289772,250071,278453,311588,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Steam Turbine (ST)","MMBtu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Electric Fuel Consumption MMBTUs-Steam Turbine-Biogenic Municipal Solid Waste","MMBtu","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",164424,152468,151314,150244,173635,192683,159355,152167,172005,170355,171940,176915,172494,148636,144448,170185,177536,169890,178921,176947,161936,161054,155504,174697,169879,157820,143451,165249,167615,165261,173264,176435,154233,164450,154546,163110,166493,150597,151466,162254,158945,141274,154691,156167,142813,140556,135838,145305,147226,105159,151350,168697,162643,168135,174091,170563,160284,162654,160722,159727,135151,116244,134983,146617,130991,151934,171311,136481,126479,170776,139377,154740,133878,136257,133884,143740,147724,145242,150329,151160,122189,148945,146549,145227,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Electric Fuel Consumption MMBTUs-Steam Turbine-Non-Biogenic Municipal Solid Waste","MMBtu","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",129185,119791,118884,118044,136422,151387,125202,119555,135141,133844,135089,138999,135526,116789,113493,133718,139493,133483,140584,139023,127244,126540,122181,137263,133476,124001,112713,129840,131699,129845,136132,138628,121179,129213,121424,128154,130817,118327,118998,127490,124879,111000,121553,122703,112214,110438,106729,114170,115678,82629,118919,132559,127795,132100,136780,134020,125936,127800,126288,125509,129855,111684,129691,140869,125857,145970,164590,131130,121532,164081,133915,148668,128631,130910,128627,138106,141936,139547,144441,145237,117397,143111,140803,139529,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Electric Fuel Consumption MMBTUs-Steam Turbine-Municipal Solid Waste","MMBtu","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",343628,293295,268088,232876,245899,290879,359131,381339,282626,259982,266654,350883,274123,259811,282188,288381,323014,318963,342091,308561,301080,263508,263922,311066,314681,268380,299822,276826,303307,294096,315965,304361,289772,250071,278453,311588,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--" 
