"Covanta Alexandria/Arlington Energy"
"http://www.eia.gov/electricity/data/browser/#/plant/50663"
"Mon Jun 09 2014 18:21:36 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
" ","units","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014"
"Net Generation-Steam Turbine-Municipal Solid Waste","megawatthours","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",15313,13070,11947,10378,10958,12963,16004,16994,12595,11586,11883,15637,14002,13271,14414,14730,16499,16292,17473,15761,15379,13459,13481,15889,16233,13844,15466,14280,15646,15171,16299,15701,14948,12900,14364,16073,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fuel Consumption Quantity","physical unit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All Primemovers (ALL)","physical unit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fuel Consumption Quantity-All Primemovers-Biogenic Municipal Solid Waste","tons","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",22020,20419,20264,20121,23254,25805,21341,20379,23035,22814,23027,23693,21774,18314,20385,22862,23946,22505,22778,22613,20895,21942,20806,21525,21363,20443,19565,22793,24671,23250,23487,22678,21250,22003,19806,22851,21798,18780,20510,22175,23163,21070,21078,22441,19108,20731,19436,19697,19917,15563,20983,22800,21893,22860,24186,24485,22154,21719,21209,20415,17484,14516,17719,18872,18575,19414,20770,18617,18413,21073,18033,19575,16455,16520,17392,18165,20239,18392,19450,18801,16595,18343,18652,17291,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fuel Consumption Quantity-All Primemovers-Non-Biogenic Municipal Solid Waste","tons","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",7340,6806,6755,6707,7751,8602,7114,6793,7678,7605,7676,7898,7259,6105,6796,7621,7982,7502,7593,7538,6965,7314,6935,7176,7121,6814,6522,7597,8224,7751,7830,7560,7084,7335,6602,7616,7266,6261,6837,7392,7721,7024,7027,7481,6370,6911,6479,6566,6639,5188,6994,7600,7298,7620,8062,8162,7385,7240,7069,6806,9836,8164,9967,10614,10448,10921,11683,10472,10359,11853,10142,11010,9256,9293,9783,10218,11384,10346,10940,10575,9335,10318,10492,9726,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fuel Consumption Quantity-All Primemovers-Municipal Solid Waste","tons","--","--","--","--","--","--","--","--","--","--","--","--",25184,24214,26866,22869,23432,23763,28454,23991,27738,28505,25989,24170,34363,29330,26809,23288,24590,29088,35913,38134,28263,25998,26665,35088,27412,25981,28219,28838,32301,31896,34209,30856,30108,26351,26392,31107,31468,26838,29982,27683,30331,29410,31596,30436,28977,25007,27845,31159,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Steam Turbine (ST)","physical unit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fuel Consumption Quantity-Steam Turbine-Biogenic Municipal Solid Waste","tons","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",22020,20419,20264,20121,23254,25805,21341,20379,23035,22814,23027,23693,21774,18314,20385,22862,23946,22505,22778,22613,20895,21942,20806,21525,21363,20443,19565,22793,24671,23250,23487,22678,21250,22003,19806,22851,21798,18780,20510,22175,23163,21070,21078,22441,19108,20731,19436,19697,19917,15563,20983,22800,21893,22860,24186,24485,22154,21719,21209,20415,17484,14516,17719,18872,18575,19414,20770,18617,18413,21073,18033,19575,16455,16520,17392,18165,20239,18392,19450,18801,16595,18343,18652,17291,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fuel Consumption Quantity-Steam Turbine-Non-Biogenic Municipal Solid Waste","tons","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",7340,6806,6755,6707,7751,8602,7114,6793,7678,7605,7676,7898,7259,6105,6796,7621,7982,7502,7593,7538,6965,7314,6935,7176,7121,6814,6522,7597,8224,7751,7830,7560,7084,7335,6602,7616,7266,6261,6837,7392,7721,7024,7027,7481,6370,6911,6479,6566,6639,5188,6994,7600,7298,7620,8062,8162,7385,7240,7069,6806,9836,8164,9967,10614,10448,10921,11683,10472,10359,11853,10142,11010,9256,9293,9783,10218,11384,10346,10940,10575,9335,10318,10492,9726,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fuel Consumption Quantity-Steam Turbine-Municipal Solid Waste","tons","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",34363,29330,26809,23288,24590,29088,35913,38134,28263,25998,26665,35088,27412,25981,28219,28838,32301,31896,34209,30856,30108,26351,26392,31107,31468,26838,29982,27683,30331,29410,31596,30436,28977,25007,27845,31159,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
